"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DX32","DX70","DX90","EMNT","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-01","4.0","13","0","14","1","39","91","1.37",,"57.4","68.2","46.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-02","4.9","14","0","15","0","44","84","0.07",,"58.8","68.9","48.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-03","5.6","24","0","9","0","42","89","1.47",,"57.7","67.4","48.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-04","5.8","62","0","13","1","49","90","0.02",,"63.4","72.0","54.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-05","6.3","90","0","19","0","52","87","0.00",,"65.2","71.4","59.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-06","6.3","204","0","26","0","57","87","0.00",,"68.7","76.2","61.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-07","5.8","473","0","31","0","61","89","0.03",,"73.7","81.7","65.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-08","5.6","761","0","31","4","62","94","0.04",,"74.3","83.2","65.4"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-09","5.4","979","0","30","6","58","98","0.00",,"72.2","81.6","62.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-10","4.7","1068","0","23","4","50","94","0.39",,"66.6","76.6","56.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-11","3.8","1116","0","16","3","47","95","0.00",,"64.2","74.4","54.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-12","4.3","1116","0","0","0","38","69","5.74",,"54.4","62.3","46.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-01","3.4","0","0","13","0","39","80","0.01",,"58.0","68.4","47.6"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-02","4.7","16","0","17","0","39","89","0.08",,"59.2","72.6","45.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-03","5.8","40","0","19","0","42","87","0.91",,"61.8","72.0","51.6"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-04","6.9","98","0","20","3","48","101","0.15",,"64.9","74.4","55.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-05","6.5","136","0","20","1","51","91","0.00",,"65.1","72.5","57.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-06","6.0","322","0","30","1","59","92","0.12",,"71.2","79.7","62.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-07","5.8","586","0","31","1","62","90","0.00",,"73.5","81.8","65.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-08","5.6","968","0","31","8","65","95","0.00",,"77.3","86.4","68.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-09","5.4","1392","0","30","14","63","109","0.20",,"79.1","88.4","69.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-10","4.3","1576","0","31","3","55","95","0.18",,"71.0","78.5","63.4"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-11","4.5","1580","0","19","0","45","82","0.96",,"61.0","71.7","50.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-12","3.4","1582","0","8","0","42","82","3.19",,"58.1","66.8","49.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-01","4.9","0","0","4","0","41","75","6.32",,"56.4","64.6","48.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-02","5.8","0","0","10","0","40","84","2.90",,"56.5","66.4","46.6"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-03","6.0","0","0","5","0","41","77","6.92",,"58.5","65.8","51.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-04","5.8","14","0","14","0","49","89","0.08",,"62.4","70.5","54.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-05","5.8","19","0","9","0","50","74","0.53",,"62.8","68.3","57.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-06","6.0","68","0","24","0","56","81","0.00",,"66.3","72.7","59.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-07","5.6","377","0","31","12","60","96","0.00",,"75.0","85.0","64.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-08","5.6","708","0","31","4","64","97","2.66",,"75.7","84.4","67.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-09","5.1","936","0","30","3","59","95","0.02",,"72.6","79.4","65.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-10","4.5","1124","0","31","5","50","98","0.01",,"71.1","81.2","60.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-11","3.6","1172","0","24","0","48","89","0.53",,"66.0","77.8","54.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-12","3.4","1184","0","16","0","47","86","1.72",,"62.0","71.6","52.4"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-01","4.3","6","0","6","0","40","83","2.12",,"58.2","66.9","49.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-02","4.7","11","0","5","0","43","81","11.96",,"58.7","65.5","51.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-03","5.8","11","0","13","0","48","75","3.92",,"60.5","68.0","53.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-04","5.6","31","0","18","0","45","84","0.75",,"63.1","71.7","54.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-05","5.8","58","0","27","0","54","76","0.10",,"65.7","71.5","60.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-06","5.8","256","0","30","3","61","95","0.00",,"71.6","78.9","64.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-07","5.6","556","0","31","2","59","91","0.00",,"74.7","83.5","65.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-08","5.4","874","0","31","6","63","95","0.00",,"75.2","84.6","65.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-09","5.4","1130","0","30","7","59","109","0.00",,"73.5","82.4","64.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-10","4.0","1252","0","30","0","51","88","0.00",,"68.7","78.6","58.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-11","3.6","1256","0","24","0","43","78","0.04",,"61.2","72.5","49.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-12","2.9","1257","0","10","0","41","83","0.04",,"58.0","67.7","48.2"
