"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DX32","DX70","DX90","EMNT","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-01",,"0","13","0","35","88",,,"57.8","66.5","49.2"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-02",,"0","9","0","40","77",,,"56.9","65.9","48.0"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-03",,"0","8","0","38","85",,,"54.4","63.5","45.4"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-04",,"0","19","1","42","93",,,"61.5","72.2","50.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-05",,"0","24","0","45","88",,,"62.0","73.5","50.5"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-06",,"0","29","3","49","98",,,"70.6","83.0","58.1"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-07",,"0","31","13","59","92",,,"76.2","87.9","64.5"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-08",,"0","30","16","58","98",,,"77.1","87.9","66.2"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-09",,"0","28","12","53","98",,,"74.0","85.6","62.4"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-10",,"0","20","4","45","94",,,"65.4","74.9","55.9"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-11",,"0","26","1","46","91",,,"66.8","77.3","56.2"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2021-12",,"0","4","0","38","83",,,"53.3","60.5","46.1"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-01",,"0","10","0","41","78",,,"59.4","67.2","51.5"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-02",,"0","14","0","35","85",,,"58.6","68.4","48.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-03",,"0","17","0","41","85",,,"60.3","70.0","50.6"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-04",,"0","18","3","40","96",,,"62.5","73.4","51.5"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-05",,"0","24","1","43","93",,,"63.5","74.7","52.2"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-06",,"0","30","12","51","95",,,"73.7","86.3","61.0"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-07",,"0","31","9","55","93",,,"74.4","86.7","62.2"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-08",,"0","31","18","60","99",,,"79.3","90.5","68.1"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-09",,"0","30","14","54","107",,,"78.3","88.8","67.7"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-10",,"0","28","0","50","89",,,"68.1","77.4","58.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-11",,"0","13","0","43","74",,,"58.6","67.2","50.1"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2022-12",,"0","6","0","40","84",,,"55.1","62.3","48.0"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-01",,"0","0","0","40","69",,,"52.2","58.6","45.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-02",,"0","4","0","35","73",,,"51.8","59.8","43.9"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-03",,"0","1","0","36","72",,,"51.3","58.7","44.0"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-04",,"0","16","0","37","86",,,"59.6","69.5","49.6"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-05",,"0","13","0","46","80",,,"59.6","68.4","50.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-06",,"0","23","1","50","90",,,"63.3","73.5","53.2"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-07",,"0","31","19","51","98",,,"78.4","90.1","66.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-08",,"0","31","13","56","100",,,"77.1","87.8","66.4"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-09",,"0","26","3","55","95",,,"69.8","78.8","60.7"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-10",,"0","28","8","49","95",,,"70.9","80.6","61.1"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-11",,"0","19","0","46","87",,,"64.4","73.3","55.5"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2023-12",,"0","10","0","40","81",,,"59.8","68.1","51.6"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-01",,"0","7","0","38","78",,,"55.2","62.6","47.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-02",,"0","2","0","40","74",,,"53.1","59.8","46.3"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-03",,"0","3","0","41","72",,,"54.2","61.9","46.4"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-04",,"0","15","0","40","81",,,"58.7","68.7","48.6"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-05",,"0","25","0","44","79",,,"61.0","71.8","50.2"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-06",,"0","30","5","53","96",,,"70.1","82.3","57.7"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-07",,"0","31","20","59","97",,,"78.6","91.0","66.3"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-08",,"0","31","17","52","98",,,"77.9","90.3","65.6"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-09",,"0","29","12","52","110",,,"75.9","87.3","64.4"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-10",,"0","28","9","47","101",,,"73.4","83.7","63.1"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-11",,"0","20","0","42","80",,,"61.4","71.2","51.6"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2024-12",,"0","16","0","44","82",,,"61.2","70.2","52.2"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2025-01",,"0","8","0","38","83",,,"56.1","65.5","46.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2025-02",,"0","14","0","41","81",,,"60.0","69.0","50.9"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2025-03",,"0","9","0","38","87",,,"55.4","64.0","46.8"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2025-04",,"0","16","0","42","85",,,"59.1","68.9","49.3"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2025-05",,"0","24","4","47","101",,,"64.6","75.7","53.5"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2025-06",,"0","28","5","50","97",,,"69.4","81.6","57.3"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2025-07",,"0","31","4","51","93",,,"71.3","84.6","58.0"
"USC00042863","ESCONDIDO NUMBER 2, CA US","33.121","-117.09","182.9","2021-01",,"0","16","1","37","91","3.05",,"58.0","71.2","44.9"
"USC00042863","ESCONDIDO NUMBER 2, CA US","33.121","-117.09","182.9","2021-02",,"0","17","0","40","84","0.23",,"58.4","71.3","45.6"
"USC00042863","ESCONDIDO NUMBER 2, CA US","33.121","-117.09","182.9","2021-03",,"0","14","1","40","92","1.89",,"58.2","69.9","46.4"
"USC00042863","ESCONDIDO NUMBER 2, CA US","33.121","-117.09","182.9","2021-04",,"0","23","3","47","97","0.10",,"64.5","76.3","52.6"
"USC00042863","ESCONDIDO NUMBER 2, CA US","33.121","-117.09","182.9","2021-05",,"0","27","0","49","88","0.03",,"66.4","76.8","56.1"
"USC00042863","ESCONDIDO NUMBER 2, CA US","33.121","-117.09","182.9","2021-06",,"0","29","5","53","97","0.00",,"72.5","84.8","60.2"
